0.63  -0.22  0.75  0.22  0.69  0.69  -0.47  0.54  0.70
0.22  0.69  0.69  0.63  -0.22  0.75  0.29  0.23  -0.93
-0.47  0.54  0.70  0.22  0.69  0.69  0.29  0.23  -0.93
0.29  0.23  -0.93  0.63  -0.22  0.75  0.61  -0.64  -0.47
0.63  -0.22  0.75  -0.47  0.54  0.70  -0.09  -0.32  0.94
0.61  -0.64  -0.47  0.63  -0.22  0.75  -0.09  -0.32  0.94
0.29  0.23  -0.93  0.61  -0.64  -0.47  0.27  -0.66  -0.70
0.61  -0.64  -0.47  -0.09  -0.32  0.94  0.27  -0.66  -0.70
0.29  0.23  -0.93  0.27  -0.66  -0.70  -0.63  0.37  -0.68
-0.63  0.37  -0.68  -0.47  0.54  0.70  0.28  0.87  0.40
0.29  0.23  -0.93  -0.63  0.37  -0.68  0.28  0.87  0.40
-0.47  0.54  0.70  0.29  0.23  -0.93  -0.68  -0.12  0.72
-0.09  -0.32  0.94  -0.47  0.54  0.70  -0.68  -0.12  0.72
0.27  -0.66  -0.70  -0.09  -0.32  0.94  -0.68  -0.12  0.72
-0.47  0.54  0.70  -0.63  0.37  -0.68  -0.68  -0.12  0.72
-0.63  0.37  -0.68  0.27  -0.66  -0.70  -0.68  -0.12  0.72
0.28  0.87  0.40  -0.47  0.54  0.70  -0.68  -0.12  0.72
0.29  0.23  -0.93  0.28  0.87  0.40  -0.68  -0.12  0.72
